respondent,pid,pid_strength_1,democrat,republican,independent,democrat_noleaners,democrat_leaners,questions,rgc_c_aca2,rgc_c_dt,responses,aca2_correct,dt_correct,correct,knowledge,cheating,guessing,inference,expressive,congenial
4,Democrat,3,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
4,Democrat,3,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
5,Democrat,3,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Don’t know,NA,0,NA,0,0,0,0,0,0,1
5,Democrat,3,1,0,0,1,1,rgc_c_dt_p,Don’t know,Don’t know,NA,NA,0,0,0,0,0,0,0,0
8,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
8,NA,4,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
12,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,NA,0,NA,0,0,0,0,0,0,1
12,NA,3,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
13,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
13,Republican,10,0,1,0,0,0,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
15,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Don’t know,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,NA
15,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Don’t know,NA,NA,0,0,0,0,0,0,0,NA
18,Republican,8,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Strip immigrants from several Muslim-majority countries of their green cards,NA,0,NA,0,0,0,0,0,0,0
18,Republican,8,0,1,0,0,0,rgc_c_dt_p,Don’t know,Strip immigrants from several Muslim-majority countries of their green cards,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,1
22,Democrat,5,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
22,Democrat,5,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
25,Republican,5,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,0
25,Republican,5,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
27,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,0
27,Republican,9,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
28,Democrat,5,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Strip immigrants from countries supporting terrorism of their green cards,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
28,Democrat,5,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Strip immigrants from countries supporting terrorism of their green cards,I just thought I’d take a shot,NA,0,0,0,0,0,0,0,0
31,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Don’t know,NA,0,NA,0,0,0,0,0,0,NA
31,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Don’t know,NA,NA,0,0,0,0,0,0,0,NA
35,NA,7,NA,NA,NA,NA,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
35,NA,7,NA,NA,NA,NA,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
37,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,NA,0,NA,0,0,0,0,0,0,1
37,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
38,Democrat,4,1,0,0,1,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Strip immigrants from countries supporting terrorism of their green cards,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,1
38,Democrat,4,1,0,0,1,1,rgc_c_dt_p,Replace Medicare with a “public option”,Strip immigrants from countries supporting terrorism of their green cards,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
39,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,0
39,Republican,9,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
40,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,NA
40,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
44,NA,2,1,0,0,NA,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,I just thought I’d take a shot,1,NA,1,0,0,1,0,0,1
44,NA,2,1,0,0,NA,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
45,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Replace Medicare with a “public option”,Strip immigrants from several Muslim-majority countries of their green cards,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,0
